CodObr,CodPar,NumPar,CodIns,CanIns,CosIns,CodFam,Contad,CodAlt
"144ZOIPA","P0000035",1,"MANO0056",2.0000000000000000e+00,3.3300000000000001e+00,"01",1218,
"144ZOIPA","P0000035",1,"MANO0008",1.0000000000000000e+00,3.6099999999999999e+00,"01",1219,
"144ZOIPA","P0000035",1,"DTC003",1.0000000000000000e+00,1.0000000000000000e+01,"01",1220,
"144ZOIPA","P0000110",2,"MANO0056",2.0000000000000000e+00,3.3300000000000001e+00,"01",1221,
"144ZOIPA","P0000110",2,"MANO0005",1.0000000000000000e+00,3.6099999999999999e+00,"01",1222,
"144ZOIPA","P0000110",2,"MANO0059",1.0000000000000000e+00,8.0899999999999999e+00,"01",1223,
"144ZOIPA","P0000110",2,"MANO0011",5.0000000000000000e-01,3.7500000000000000e+00,"01",1224,
"144ZOIPA","P0003997",3,"MANO0021",2.0000000000000000e+00,3.6099999999999999e+00,"01",1225,
"144ZOIPA","P0003997",3,"MANO0007",3.0000000000000000e+00,3.6099999999999999e+00,"01",1226,
"144ZOIPA","P0003997",3,"MANO0018",1.0000000000000000e+00,6.9299999999999997e+00,"01",1227,
"144ZOIPA","P0005853",4,"MANO0007",2.0000000000000000e+00,3.6099999999999999e+00,"01",1228,
"144ZOIPA","P0005853",4,"MANO0059",2.0000000000000000e+00,8.0899999999999999e+00,"01",1229,
"144ZOIPA","P0005853",4,"MANO0018",4.0000000000000000e+00,6.9299999999999997e+00,"01",1230,
"144ZOIPA","P0005853",4,"MANO0011",2.5000000000000000e-01,3.7500000000000000e+00,"01",1231,
"144ZOIPA","P0005853",4,"MANO0102",1.0000000000000000e+00,6.9299999999999997e+00,"01",1232,
"144ZOIPA","P0005858",5,"MANO0042",1.0000000000000000e+00,8.3100000000000005e+00,"01",1233,
"144ZOIPA","P0005858",5,"MANO0021",3.0000000000000000e+00,3.6099999999999999e+00,"01",1234,
"144ZOIPA","P0005858",5,"MANO0019",4.0000000000000002e-01,4.0400000000000000e+00,"01",1235,
"144ZOIPA","P0005858",5,"MANO0007",2.0000000000000000e+00,3.6099999999999999e+00,"01",1236,
"144ZOIPA","P0005858",5,"MANO0059",1.0000000000000000e+00,8.0899999999999999e+00,"01",1237,
"144ZOIPA","P0005858",5,"MANO0028",4.0000000000000002e-01,3.7500000000000000e+00,"01",1238,
"144ZOIPA","LAI499",6,"MANO0057",1.0000000000000000e+00,3.7500000000000000e+00,"01",1239,
"144ZOIPA","LAI499",6,"MANO0042",2.5000000000000000e-01,8.3100000000000005e+00,"01",1240,
"144ZOIPA","LAI499",6,"MANO0056",2.0000000000000000e+00,3.3300000000000001e+00,"01",1241,
"144ZOIPA","OBREX31",7,"MANO0001",2.0000000000000000e+00,4.4299999999999997e+00,"01",1242,
"144ZOIPA","OBREX31",7,"MANO0051",1.0000000000000000e+00,4.0400000000000000e+00,"01",1243,
"144ZOIPA","OBREX31",7,"MANO0056",4.0000000000000000e+00,3.3300000000000001e+00,"01",1244,
"144ZOIPA","OBREX31",7,"MANO0043",2.5000000000000000e-01,6.9800000000000004e+00,"01",1245,
"144ZOIPA","*ARMRE07",8,"MANO0005",2.0000000000000000e+00,3.6099999999999999e+00,"01",1246,
"144ZOIPA","*ARMRE07",8,"MANO0039",5.0000000000000000e-01,7.3499999999999996e+00,"01",1247,
