CodObr,CodPar,NumPar,CodIns,CanIns,CosIns,Desper,CodFam,Contad,CodAlt
"144ZOIPA","P0000035",1,"MATE0415",1.0000000000000001e-01,2.0000000000000000e+00,0.0000000000000000e+00,"01",679,
"144ZOIPA","P0005853",4,"RELLENO",1.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,"03",680,
"144ZOIPA","LAI499",6,"MATE1384",1.0000000000000000e+00,2.5000000000000000e+01,5.0000000000000000e+00,"03",681,
"144ZOIPA","OBREX31",7,"*AGUA",1.6000000000000000e-01,3.0000000000000000e+00,5.0000000000000000e+00,"03",682,
"144ZOIPA","OBREX31",7,"MATE0123",1.0000000000000000e+00,3.8999999999999999e+00,5.0000000000000000e+00,"03",683,
"144ZOIPA","OBREX31",7,"CEM010",7.5000000000000000e+00,6.5000000000000000e+00,5.0000000000000000e+00,"02",684,
"144ZOIPA","OBREX31",7,"MATE0231",6.7000000000000004e-01,3.5000000000000000e+01,5.0000000000000000e+00,"03",685,
"144ZOIPA","OBREX31",7,"MATE1384",6.5000000000000002e-01,2.5000000000000000e+01,5.0000000000000000e+00,"03",686,
"144ZOIPA","*ARMRE07",8,"MATE0102",1.0000000000000000e-02,2.5000000000000000e+01,0.0000000000000000e+00,"01",687,
"144ZOIPA","*ARMRE07",8,"MALLAS",1.0000000000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,"01",688,
"144ZOIPA","P0002329",9,"MATE0578",1.0000000000000001e-01,8.3000000000000000e+01,0.0000000000000000e+00,"01",689,
"144ZOIPA","P0002329",9,"CONTRAE",1.1000000000000001e+00,3.0000000000000000e+01,0.0000000000000000e+00,"04",690,
"144ZOIPA","P0001367",10,"MATE0123",4.0000000000000000e+00,3.8999999999999999e+00,5.0000000000000000e+00,"03",691,
"144ZOIPA","P0001367",10,"MATE0231",6.7249999999999999e-01,3.5000000000000000e+01,5.0000000000000000e+00,"03",692,
"144ZOIPA","P0001367",10,"MATE1384",6.4500000000000002e-01,2.5000000000000000e+01,5.0000000000000000e+00,"03",693,
