CodObr,NumPar,CodPar,RenPar,CanPar,PreUni,SubPar,HorHom,UniMat,UniEqu,UniMan,DiaCom,Puindi,PreSoc,AdmIni,Utilid,Financ,Divid1,DiaCo1,CapPar,RenDi2,fECiNI,Nota01,AplISV,Nota02,PorISV,STotMat,STotEqu,SSubMan,SPreSoc,STotB01,STotB02,StotB03,STotMan,SCosDir,SAdmini,SUtilid,SFinanc,SImpues,SHorHom,SDurDia,SCosHom,DiaIni,STotGas,STotPar,PreSoc2,STarCom,SSubMan2,SPreSoc2,CodGru
"144ZOIPA",1,"P0000035",1.0000000000000000e+04,1.0000000000000000e+04,2.5000000000000000e-01," ",3.2000000000000000e+01,2.0000000000000001e-01,0.0000000000000000e+00,1.0000000000000000e-02,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,2.0000000000000001e-01,1.6800000000000001e+01,2.0270000000000000e+01,8.1079999999999998e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.1534999999999999e+02,2.1000000000000002e-01,2.0000000000000000e-02,2.0000000000000000e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.2000000000000000e+01,1.0000000000000000e+00,3.1250000000000000e+00,,0.0000000000000000e+00,2.5000000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",2,"P0000110",5.0000000000000000e-01,1.0000000000000000e+00,8.8801999999999998e+02," ",7.2000000000000000e+01,0.0000000000000000e+00,5.0000000000000000e+02,2.3390000000000001e+02,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,0.0000000000000000e+00,2.5000000000000000e+02,2.0239999999999998e+01,8.0959999999999994e+01,1.5750000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.1695000000000000e+02,7.3389999999999998e+02,7.3390000000000001e+01,8.0730000000000004e+01,0.0000000000000000e+00,0.0000000000000000e+00,7.2000000000000000e+01,2.0000000000000000e+00,3.2486111111111113e+00,,0.0000000000000000e+00,8.8801999999999998e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",3,"P0003997",5.0000000000000000e+02,3.6818200000000002e+03,1.3200000000000001e+00," ",3.5345472000000001e+02,0.0000000000000000e+00,8.0000000000000004e-01,2.8999999999999998e-01,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,2.4980000000000000e+01,9.9920000000000002e+01,2.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.4590000000000001e+02,1.0900000000000001e+00,1.1000000000000000e-01,1.2000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.5345472000000001e+02,7.3636400000000002e+00,3.0208333333333330e+00,,0.0000000000000000e+00,4.8600000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",4,"P0005853",3.5000000000000000e+02,3.0000000000000000e+03,1.6160000000000000e+01," ",6.3428571428571422e+02,8.0000000000000000e+00,4.4100000000000001e+00,9.3999999999999995e-01,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,8.0000000000000000e+00,1.5450000000000000e+03,5.8989999999999995e+01,2.3596000000000001e+02,3.2375000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.2731999999999999e+02,1.3350000000000000e+01,1.3400000000000001e+00,1.4700000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.3428571428571422e+02,8.5714285714285712e+00,4.4459459459459465e+00,,0.0000000000000000e+00,4.8480000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",5,"P0005858",3.0000000000000000e+02,7.0000000000000000e+02,5.9199999999999999e+00," ",1.4559999999999999e+02,0.0000000000000000e+00,4.1699999999999999e+00,7.1999999999999997e-01,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,0.0000000000000000e+00,1.2500000000000000e+03,3.7570000000000000e+01,1.5028000000000000e+02,2.7300000000000001e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.1515000000000001e+02,4.8899999999999997e+00,4.8999999999999999e-01,5.4000000000000004e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4559999999999999e+02,2.3333333333333335e+00,3.4615384615384617e+00,,0.0000000000000000e+00,4.1440000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",6,"LAI499",5.0000000000000000e+01,5.0000000000000000e+02,3.7490000000000002e+01," ",2.6000000000000000e+02,2.6250000000000000e+01,3.2500000000000000e+00,1.4800000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,2.6250000000000000e+01,1.6228000000000000e+02,1.2490000000000000e+01,4.9960000000000001e+01,1.1375000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,7.3819999999999993e+01,3.0980000000000000e+01,3.1000000000000001e+00,3.4100000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.6000000000000000e+02,1.0000000000000000e+01,2.8461538461538463e+00,,0.0000000000000000e+00,1.8745000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",7,"OBREX31",1.0000000000000000e+01,2.3000000000000000e+02,1.7156999999999999e+02," ",1.3340000000000000e+03,9.7469999999999999e+01,2.7800000000000001e+01,1.6520000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,9.7469999999999999e+01,2.7802000000000004e+02,2.7969999999999999e+01,1.1188000000000000e+02,2.5375000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.6522000000000000e+02,1.4178999999999999e+02,1.4180000000000000e+01,1.5600000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.3340000000000000e+03,2.3000000000000000e+01,2.8482758620689657e+00,,0.0000000000000000e+00,3.9461099999999999e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",8,"*ARMRE07",1.0000000000000000e+03,5.8000000000000000e+03,2.3100000000000001e+00," ",2.0879999999999998e+02,1.5500000000000000e+00,2.5000000000000000e-01,1.1000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,1.5500000000000000e+00,2.5038000000000000e+02,1.9079999999999998e+01,7.6319999999999993e+01,1.5750000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.1115000000000001e+02,1.9100000000000001e+00,1.9000000000000000e-01,2.0999999999999999e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.0879999999999998e+02,5.7999999999999998e+00,3.0555555555555558e+00,,0.0000000000000000e+00,1.3398000000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",9,"P0002329",5.0000000000000000e+01,2.2500000000000000e+02,5.3829999999999998e+01," ",2.2500000000000000e+02,4.1299999999999997e+01,2.8999999999999998e-01,2.8999999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,4.1299999999999997e+01,1.4430000000000000e+01,2.4620000000000001e+01,9.8480000000000004e+01,2.1875000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.4497999999999999e+02,4.4489999999999995e+01,4.4500000000000002e+00,4.8899999999999997e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2500000000000000e+02,4.5000000000000000e+00,2.8999999999999999e+00,,0.0000000000000000e+00,1.2111750000000000e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"144ZOIPA",10,"P0001367",1.5000000000000000e+01,1.4000000000000000e+02,1.6606000000000000e+02," ",6.3466666666666674e+02,1.0643000000000001e+02,1.7629999999999999e+01,1.3180000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"N",,0.0000000000000000e+00,1.0643000000000001e+02,2.6438999999999999e+02,3.3600000000000001e+01,1.3440000000000001e+02,2.9750000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.9775000000000000e+02,1.3724000000000001e+02,1.3720000000000001e+01,1.5100000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.3466666666666674e+02,9.3333333333333339e+00,2.9073529411764705e+00,,0.0000000000000000e+00,2.3248400000000001e+04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
