CodObr,ParDes,ParHas,Cont,SubCap,DesCap,FechaIni,FechaFin,CodCap
"144ZOIPA",1,5,,"C","MOVIMIENTO DE TIERRA",,,1.0000000000000000e+00
"144ZOIPA",6,13,,"C","OBRAS EXTERIORES",,,2.0000000000000000e+00
"144ZOIPA",14,25,,"C","CLOCAS",,,3.0000000000000000e+00
"144ZOIPA",26,32,,"C","ACUEDUCTO",,,4.0000000000000000e+00
"144ZOIPA",33,53,,"C","ALTA Y BAJA TENSION",,,5.0000000000000000e+00
"144ZOIPA",54,68,,"C","ESTRUCTURA",,,6.0000000000000000e+00
"144ZOIPA",69,75,,"C","ALBAÑILERIA Y ACABADOS",,,7.0000000000000000e+00
"144ZOIPA",76,81,,"C","MARCOS PUERTAS VENTANAS Y BARANDAS",,,8.0000000000000000e+00
"144ZOIPA",82,84,,"C","PINTURA",,,9.0000000000000000e+00
"144ZOIPA",85,99,,"C","INSTALACIONES ELECTRICAS",,,1.0000000000000000e+01
"144ZOIPA",100,120,,"C","INSTALACIONES SANITARIAS",,,1.1000000000000000e+01
"144ZOIPA",121,123,,"C","INCENDIO",,,1.2000000000000000e+01
