Contad,SubCap,DesCap
1,"C","ACUEDUCTOS"
2,"C","ACUEDUCTOS , ETAPA A, 457 VIVIENDAS"
3,"C","ALBAÑILERIA Y ACABADOS"
4,"C","ALBAÑILERIA Y ACABADOS, 457 VIVIENDAS"
5,"C","ALTA Y BAJA TENSION"
6,"C","ALTA Y BAJA TENSION, 457 VIVIENDAS"
7,"C","CARPINTERIA Y HERRERIA, 457 VIVIENDAS"
8,"C","CLOACAS"
9,"C","CLOACAS, DESCARGA FINAL"
10,"C","CLOACAS, ETAPA A, 457 VIVIENDAS"
11,"C","ESTRUCTURA"
12,"C","ESTRUCTURA, 457 VIVIENDAS"
13,"C","INFRAESTRUCTURA, 457 VIVIENDAS"
14,"C","INSTALACIONES ELECTRICAS"
15,"C","INSTALACIONES ELECTRICAS, 457 VIVIENDAS"
16,"C","INSTALACIONES SANITARIAS"
17,"C","INSTALACIONES SANITARIAS, 457 VIVIENDAS"
18,"C","MOVIMIENTO DE TIERRA"
19,"C","MOVIMIENTO DE TIERRA, 457 VIVIENDAS"
20,"C","MURO PERIMETRAL"
21,"C","OBRAS EXTERIORES, 457 VIVIENDAS"
22,"C","OBRAS EXTRAS URBANISMO"
23,"C","OBRAS EXTRAS VIVIENDAS"
24,"C","OBRAS PROVISIONALES, 457 VIVIENDAS"
25,"C","PINTURA, 457 VIVIENDAS"
26,"C","TECHO, 457 VIVIENDAS"
27,"C","VIALIDAD"
28,"C","VIALIDAD,457 VIVIENDAS"
29,"C","ALBANILERIA Y ACABADOS"
30,"C","CAMINERIAS"
31,"C","VIALIDAD Y CAMINERIAS"
32,"C","CONTRA INCENDIO"
33,"C","ELCTRICDAD"
34,"C","SANITARIA"
35,"C","INFRAESTRUCTURA"
36,"C","OBRAS EXTERIORES"
37,"C","CLOCAS"
38,"C","FUNDACIONES"
39,"C","ACUEDUCTO"
40,"C","PUERTAS Y VENTANAS"
41,"C","MARCOS PUERTAS VENTANAS Y BARANDAS"
42,"C","PINTURA"
43,"C","INCENDIO"
