CodEqu,CodFam,Descri,CosEqu,CosDia,Deprec,Transp,FecEqu,Dep01,Provee,Man01,Rep01,PorNacImp,TipEqu,Importado,CodAlt
"*ALICAT2","01","ALICATE CRESCENT 8""",1.8000000000000000e+01,1.7999999999999999e-01,1.0000000000000000e-02,,"06/14/22 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,
"*AMPERM1","01","VOLTIAMPERIMETRO ANALOGO SK-7100 600V 600A 20kOhm KAISE",3.0000000000000000e+01,8.9999999999999997e-02,3.0000000000000001e-03,,"04/24/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,
"*CAMIO02","01","CAMION CISTERNA 15.000 LTS.",6.0000000000000000e+04,1.2000000000000000e+02,2.0000000000000000e-03,,"03/08/23 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,
"*CAMIO03","01","CAMION DE VOLTEO MACK VM23 12 M3",1.5000000000000000e+05,3.0000000000000000e+02,2.0000000000000000e-03,"N","03/08/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,
"*CAMIO06","02","CAMION FIAT IMPRIMADOR ROSCO",8.3834809999999998e+04,1.6766999999999999e+02,2.0000000000000000e-03,,"08/25/21 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,
"*CAMIO07","02","ESCOBA AUTOPROPULSADA.",2.2328000000000000e+02,1.1164000000000000e+02,5.0000000000000000e-01,,"08/25/21 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,
"*CARRET1","01","CARRETILLA DE RUEDAS NEUMATICAS DE CAPACIDAD= 55 l",3.0000000000000000e+01,1.2000000000000000e-01,4.0000000000000001e-03,,"06/14/22 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,
"*CARRET2","01","CARRETON BUGGI 150 L RUEDAS DE GOMA",1.9000000000000000e+02,9.4999999999999996e-01,5.0000000000000001e-03,,"04/24/23 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,
"*COMPAC2","02","COMPACTADORA CAT CB-534D DE ASFALTO (RODILLO)",1.5000000000000000e+05,4.5000000000000000e+02,3.0000000000000001e-03,,"07/02/23 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,
"*COMPAC6","02","COMPACTADORA CAT 815F",1.5000000000000000e+05,2.2500000000000000e+02,1.5000000000000000e-03,,"03/08/23 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,
"*COMPAC7","02","COMPACTADORA CAT PS300B PNEUMATICO",1.5000000000000000e+05,4.5000000000000000e+02,3.0000000000000001e-03,,"07/02/23 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,
