CodMan,CodFam,Descri,Salari,Superv,FecMan,PorNacImp,Importado,CodAlt
"DTC003","01","TOPOGRAFO",1.0000000000000000e+01,"M","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0001","01","ALBAÑIL DE 1ra.",4.4299999999999997e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0005","01","AYUDANTE",3.6099999999999999e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0007","01","AYUDANTE DE OPERADORES",3.6099999999999999e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0008","01","AYUDANTE DE TOPOGRAFO",3.6099999999999999e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0009","01","CABILLERO DE 1ra.",4.4299999999999997e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0010","01","CABILLERO DE 2da.",3.7500000000000000e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0011","01","CAPORAL",3.7500000000000000e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0013","01","CARPINTERO DE 1ra.",4.4500000000000002e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0014","01","CARPINTERO DE 2da.",3.7500000000000000e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0018","01","CHOFER DE 1ra. (DE 8 A 15 TONS)",6.9299999999999997e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0019","01","CHOFER DE 2ra. (DE 3 A 8 TONS)",4.0400000000000000e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0020","01","CHOFER DE 3ra. (HASTA 3 TONS)",3.7500000000000000e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0021","01","CHOFER DE 4ta.",3.6099999999999999e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0026","01","ELECTRICISTA DE 1ra.",4.4299999999999997e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0028","01","ENGRASADOR",3.7500000000000000e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0032","01","IMPERMEABILIZADOR DE 1ra.",6.9299999999999997e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0038","01","LINIERO DE 1ra.",6.9299999999999997e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0039","01","MAESTRO CABILLERO",7.3499999999999996e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0040","01","MAESTRO CARPINTERO DE 1ra.",7.3499999999999996e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0041","01","MAESTRO CARPINTERO DE 2da.",6.9800000000000004e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0042","01","MAESTRO DE OBRA DE 1ra.",8.3100000000000005e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0043","01","MAESTRO DE OBRA DE 2da.",6.9800000000000004e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0044","01","MAESTRO DE OBRAS ELECTROMECANICAS",7.3499999999999996e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0045","01","MAESTRO ELECTRICISTA",7.3499999999999996e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0047","01","MAESTRO IMPERMEABILIZADOR",7.3499999999999996e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0049","01","MAESTRO PINTOR",7.3499999999999996e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0050","01","MAESTRO PLOMERO DE 1ra.",7.3499999999999996e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0051","01","MAQUINISTA DE CONCRETO DE 1ra.",4.0400000000000000e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0055","01","MONTADOR",6.9299999999999997e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0056","01","OBRERO DE 1ra.",3.3300000000000001e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0057","01","OPERADOR DE EQUIPO LIVIANO",3.7500000000000000e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0059","01","OPERADOR DE EQUIPO PESADO DE 1ra.",8.0899999999999999e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0070","01","PINTOR DE 1ra.",6.9299999999999997e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0071","01","PINTOR DE 2da.",3.7500000000000000e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0072","01","PLOMERO DE 1ra.",4.4299999999999997e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0074","01","SOLDADOR DE 1ra.",6.9299999999999997e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0077","00","TRACTORISTA DE 1ra.",8.0899999999999999e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0100","01","INGENIERO DE OBRA",2.0000000000000000e+01,"S","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0101","01","VIGILANTE",3.3300000000000001e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
"MANO0102","01","CHEQUEADOR",6.9299999999999997e+00,"N","07/01/23 00:00:00",1.0000000000000000e+02,0,
