CodMat,CodFam,Descri,UniMat,CosMat,Desper,Provee,Consum,FecMat,Importado,PorNacImp,EquActFij,CodAlt
"*ACERO03","01","MALLA ELECTROSOLDADA 10X10  DE 6 MM","KG",1.6000000000000001e+00,0.0000000000000000e+00," ","N","07/02/23 00:00:00",0,1.0000000000000000e+02,0,
"*AGUA","03","AGUA-TARIFA INDUSTRIAL TIPO ""B""","m3",3.0000000000000000e+00,0.0000000000000000e+00," ","S","09/04/22 00:00:00",0,1.0000000000000000e+02,0,
"*CABLE11","14","CABLE TTU # 8 AWG/MCM (90° C 600 V)","m",2.2700000000000000e+00,0.0000000000000000e+00,"CAMI, 22-31-63",,"09/06/22 00:00:00",0,1.0000000000000000e+02,0,
"*ESTME01","01","ESTRUCTURA METALICA","kg.",6.0000000000000000e+00,0.0000000000000000e+00," ","S","08/09/23 00:00:00",0,1.0000000000000000e+02,0,
"*LUMIN77","27","LUM. EMBUT.ACER.GALV OPTICA ALUM ANOD T5 3 L B/ELECTR","Pza.",8.0000000000000000e+00,0.0000000000000000e+00," ","S","05/08/23 00:00:00",0,1.0000000000000000e+02,0,
"*MATEIE1","14","MATERIALES VARIOS INSTALACIONES ELECT.","S.G.",1.7000000000000001e-01,0.0000000000000000e+00," ","N","09/06/22 00:00:00",0,1.0000000000000000e+02,0,
"*PINTU18","17","FONDO ANTICORROSIVO","gl.",3.5000000000000000e+01,0.0000000000000000e+00," ","S","08/09/23 00:00:00",0,1.0000000000000000e+02,0,
"*TEIPE02","14","ROLLO DE TEIPE NEGRO # 33 (COBRA)","Rollo",8.3999999999999997e-01,0.0000000000000000e+00," ","S","08/25/21 00:00:00",0,1.0000000000000000e+02,0,
"*TIERRAA","18","TIERRA NEGRA ABONADA","m3",2.0000000000000000e+01,0.0000000000000000e+00," ","N","07/03/23 00:00:00",0,1.0000000000000000e+02,0,
"APA008","60","COSTO AGREGADO DE TRANSPORTE            ","UND",1.7000000000000000e+00,0.0000000000000000e+00," ","N","02/05/08 00:00:00",0,1.0000000000000000e+02,0,
"ARBUS","18","ARBUSTOS","UND",3.0000000000000000e+01,0.0000000000000000e+00," ","N","05/08/23 00:00:00",0,1.0000000000000000e+02,0,
"ARROCILL","09","ARROCILLO","M3",5.0000000000000000e+01,0.0000000000000000e+00," ","N","04/25/23 00:00:00",0,1.0000000000000000e+02,0,
"BATEA","13","BATEA","UND",3.5000000000000000e+01,0.0000000000000000e+00," ","N","07/02/23 00:00:00",0,1.0000000000000000e+02,0,
"BREAKER3","14","BREAKER DE 2x40","UND",2.5000000000000000e+01,0.0000000000000000e+00," ","N","02/02/23 00:00:00",0,1.0000000000000000e+02,0,
"CABLE","27","CABLE 2/0","ML",8.0000000000000000e+00,0.0000000000000000e+00," ","N","01/31/23 00:00:00",0,1.0000000000000000e+02,0,
"CABLE 14","14","CABLE 14","ML",6.9999999999999996e-01,0.0000000000000000e+00," ","N","02/02/23 00:00:00",0,1.0000000000000000e+02,0,
