CodPar,CodIns,CanIns,Deprec,Contad,CodAlt
"P0000647","EQUI0124",1.0000000000000000e+00,1.0000000000000000e+00,245,
"*ARMRE07","*EQUIP02",1.0000000000000000e+00,3.5000000000000001e-03,246,
"*CABLE28","*EQUIP10",1.0000000000000000e+00,2.0000000000000000e-03,247,
"CAJAMED2","PLO012",1.0000000000000000e+00,1.0000000000000000e+00,248,
"EDF-9004","EQUI0124",1.0000000000000000e+00,1.0000000000000000e+00,249,
"ALBAÑ27","*EQUIP06",1.0000000000000000e+00,0.0000000000000000e+00,250,
"ALBAÑ27","*EQUIP05",1.0000000000000000e+00,0.0000000000000000e+00,251,
"ALBAÑ28","*EQUIP06",1.0000000000000000e+00,0.0000000000000000e+00,252,
"ALBAÑ28","*EQUIP05",1.0000000000000000e+00,0.0000000000000000e+00,253,
"BOTE1","EQUI0035",1.0000000000000000e+00,3.5899999999999999e-03,254,
"*OBREX33","*CARRET1",1.0000000000000000e+00,4.0000000000000001e-03,255,
"P0005853","*COMPAC6",1.0000000000000000e+00,1.5000000000000000e-03,256,
"*OBREX33","*VIBRAD1",1.0000000000000000e+00,8.0000000000000002e-03,257,
"*OBREX30","*VIBRAD1",2.0000000000000000e+00,0.0000000000000000e+00,258,
"*OBREX30","*CARRET1",3.0000000000000000e+00,0.0000000000000000e+00,259,
"OBREX30","*EQUIP15",1.0000000000000000e+00,0.0000000000000000e+00,260,
"P0002330","EQUI0015",2.0000000000000000e+00,1.0000000000000000e-02,261,
"P0002330","EQUI0322",2.0000000000000000e+00,1.0000000000000000e-02,262,
"P0002330","EQUI0253",2.0000000000000000e+00,1.0000000000000000e-02,263,
"P0002330","EQUI0177",2.0000000000000000e+00,1.0000000000000000e-02,264,
"P0002330","EQUI0275",2.0000000000000000e+00,1.0000000000000000e-02,265,
"P0002330","EQUI0073",3.0000000000000000e+00,1.0000000000000000e-02,266,
"P0002330","EQUI0326",3.3000000000000002e-01,2.5000000000000001e-03,267,
"P0002330","EQUI0068",1.0000000000000000e+00,1.2000000000000000e-02,268,
"P0002330","EQUI0063",1.0000000000000000e+00,3.5500000000000002e-03,269,
"P0002330","EQUI0007",2.0000000000000000e+00,1.0000000000000000e+00,270,
"P0005853","*CAMIO02",1.0000000000000000e+00,2.0000000000000000e-03,271,
"*OBREX33","FIORI",1.0000000000000000e+00,1.0000000000000000e+00,272,
"P0003198","COP078",5.0000000000000000e-01,1.0000000000000000e+00,273,
"P0000653","EQUI0201",5.0000000000000000e-01,2.0000000000000000e-03,274,
"P0005902","EQUI0042",1.0000000000000000e+00,1.0000000000000000e+00,275,
"HERRE18","EQUI0143",4.0000000000000000e+00,3.5000000000000001e-03,276,
"TAPON","EQUI0351",1.0000000000000000e+00,1.0000000000000000e-02,277,
"TAPON","EQUI0116",1.0000000000000000e+00,1.0000000000000000e-02,278,
"TAPON","EQUI0073",1.0000000000000000e+00,1.0000000000000000e-02,279,
"TAPON1","EQUI0351",1.0000000000000000e+00,1.0000000000000000e-02,280,
"TAPON1","EQUI0116",1.0000000000000000e+00,1.0000000000000000e-02,281,
"TAPON1","EQUI0073",1.0000000000000000e+00,1.0000000000000000e-02,282,
"P0003578","EQUI0310",1.0000000000000000e+00,1.0000000000000000e+00,283,
"P0003578","EQUI0318",1.0000000000000000e+00,1.0000000000000000e-02,284,
"P0003578","EQUI0275",1.0000000000000000e+00,1.0000000000000000e-02,285,
"P0003578","EQUI0073",1.0000000000000000e+00,1.0000000000000000e-02,286,
"P0003578","EQUI0019",1.0000000000000000e+00,1.0000000000000000e+00,287,
"P0003579","EQUI0310",1.0000000000000000e+00,1.0000000000000000e+00,288,
"P0003579","EQUI0318",1.0000000000000000e+00,1.0000000000000000e-02,289,
"P0003579","EQUI0275",1.0000000000000000e+00,1.0000000000000000e-02,290,
"P0003579","EQUI0073",1.0000000000000000e+00,1.0000000000000000e-02,291,
"P0003579","EQUI0019",1.0000000000000000e+00,1.0000000000000000e+00,292,
"*ARMRE07","EQUI0042",1.0000000000000000e+00,1.0000000000000000e+00,293,
"P0000160","EQUI0310",2.0000000000000000e+00,1.0000000000000000e+00,294,
"P0000648","EQUI0259",1.0000000000000000e+00,1.0000000000000000e+00,295,
"P0005904","BOMCON",1.0000000000000000e+00,2.0000000000000000e-03,296,
"P0005853","*CAMIO03",3.0000000000000000e+00,2.0000000000000000e-03,297,
"P0002544","EQUI0275",1.0000000000000000e+00,1.0000000000000000e-02,18,
"P0002544","EQUI0073",1.0000000000000000e+00,1.0000000000000000e-02,19,
"P0002544","EQUI0181",1.0000000000000000e+00,3.5000000000000001e-03,20,
"P0002544","EQUI0335",1.0000000000000000e+00,1.0000000000000000e-02,21,
"P0002673","EQUI0285",2.0000000000000000e+00,1.0000000000000000e-02,22,
"P0002673","EQUI0217",1.0000000000000000e+00,1.0000000000000000e-02,23,
"P0002673","EQUI0175",2.0000000000000000e+00,5.0000000000000001e-03,24,
"P0002673","EQUI0078",1.0000000000000000e+00,5.0000000000000001e-03,25,
"P0002674","EQUI0285",2.0000000000000000e+00,1.0000000000000000e-02,26,
"P0002674","EQUI0217",1.0000000000000000e+00,1.0000000000000000e-02,27,
"P0002674","EQUI0175",2.0000000000000000e+00,5.0000000000000001e-03,28,
"P0002674","EQUI0078",1.0000000000000000e+00,5.0000000000000001e-03,29,
"P0002930","EQUIP",1.0000000000000000e+00,1.0000000000000000e+00,30,
"P0002986","EQUI0351",3.0000000000000000e+00,1.0000000000000000e-02,31,
"P0002986","EQUI0116",3.0000000000000000e+00,1.0000000000000000e-02,32,
"P0002986","EQUI0275",3.0000000000000000e+00,1.0000000000000000e-02,33,
"P0002986","EQUI0073",3.0000000000000000e+00,1.0000000000000000e-02,34,
"P0002986","EQUI0335",3.0000000000000000e+00,1.0000000000000000e-02,35,
"P0002986","EQUI0233",6.0000000000000000e+00,1.0000000000000000e-02,36,
