CodPar,CodIns,CanIns,Contad,CodAlt
"P0000176","MANO0057",1.0000000000000000e+00,19,
"P0000645","MANO0056",4.0000000000000000e+00,20,
"P0000645","MANO0005",4.0000000000000000e+00,21,
"P0000645","MANO0010",1.0000000000000000e+00,22,
"P0000645","MANO0009",3.0000000000000000e+00,23,
"P0000645","MANO0039",1.0000000000000000e+00,24,
"P0000648","MANO0056",4.0000000000000000e+00,25,
"P0000648","MANO0005",4.0000000000000000e+00,26,
"P0000648","MANO0010",1.0000000000000000e+00,27,
"P0000648","MANO0009",3.0000000000000000e+00,28,
"P0000726","MANO0056",1.4000000000000000e+01,29,
"P0000726","MANO0005",6.0000000000000000e+00,30,
"P0000726","MANO0001",1.0000000000000000e+01,31,
"P0000726","MANO0043",3.0000000000000000e+00,32,
"P0002930","MANO0072",1.0000000000000000e+00,33,
"P0005708","MANO0005",3.0000000000000000e+00,34,
"P0005708","MANO0045",1.0000000000000001e-01,35,
"P0005708","MANO0018",1.0000000000000001e-01,36,
"P0005708","MANO0038",2.0000000000000000e+00,37,
"P0005722","MANO0056",2.0000000000000000e+00,38,
"P0005722","MANO0001",1.0000000000000000e+00,39,
"P0005722","MANO0043",2.5000000000000000e-01,40,
"P0005841","MANO0072",2.0000000000000000e+00,41,
"P0005841","MANO0050",5.0000000000000000e-01,42,
"LAI490","DTC003",1.0000000000000000e+00,43,
"LAI490","MANO0056",2.0000000000000000e+00,44,
"LAI490","MANO0005",1.0000000000000000e+00,45,
"LAI499","MANO0057",1.0000000000000000e+00,46,
"LAI499","MANO0042",2.5000000000000000e-01,47,
"LAI530","MANO0042",2.5000000000000000e-01,48,
"LAI530","MANO0072",1.0000000000000000e+00,49,
"LAI530","MANO0001",1.0000000000000000e+00,50,
"LAI530","MANO0056",4.0000000000000000e+00,51,
"LAI530","MANO0019",2.5000000000000000e-01,52,
"LIC006","MANO0056",1.0000000000000000e+00,53,
"LIC006","MANO0072",1.0000000000000000e+00,54,
"LIC006","MANO0005",2.0000000000000000e+00,55,
"P0000696","MANO0005",1.0000000000000000e+00,56,
"P0000696","MANO0001",3.0000000000000000e+00,57,
"P0000696","MANO0043",2.5000000000000000e-01,58,
"P0000726","MANO0059",3.0000000000000000e+00,59,
"P0000738","MANO0056",8.0000000000000000e+00,60,
"P0000738","MANO0005",1.0000000000000000e+01,61,
"P0000738","MANO0001",1.0000000000000000e+01,62,
"P0000738","MANO0043",3.0000000000000000e+00,63,
"P0000738","MANO0059",3.0000000000000000e+00,64,
"P0000822","MANO0056",5.0000000000000000e+00,65,
"P0000822","MANO0005",1.0000000000000000e+00,66,
"P0000822","MANO0032",2.0000000000000000e+00,67,
"P0000822","MANO0047",1.0000000000000000e+00,68,
"P0000849","MANO0056",1.0000000000000000e+01,69,
"P0001367","MANO0056",3.0000000000000000e+00,70,
"P0001367","MANO0005",2.0000000000000000e+00,71,
"P0001367","MANO0001",2.0000000000000000e+00,72,
"P0001367","MANO0043",5.0000000000000000e-01,73,
"P0001367","MANO0051",1.0000000000000000e+00,74,
"P0002930","MANO0056",2.0000000000000000e+00,75,
"P0005853","MANO0007",2.0000000000000000e+00,76,
"P0005858","MANO0042",1.0000000000000000e+00,77,
"P0005858","MANO0021",3.0000000000000000e+00,78,
"P0005858","MANO0019",4.0000000000000002e-01,79,
"P0005858","MANO0007",2.0000000000000000e+00,80,
"P0005858","MANO0059",1.0000000000000000e+00,81,
"P0005858","MANO0028",4.0000000000000002e-01,82,
"UP333","MANO0056",3.0000000000000000e+00,83,
"UP333","MANO0057",2.5000000000000000e-01,84,
"UP333","MANO0050",1.0000000000000000e+00,85,
"P0000849","MANO0005",8.0000000000000000e+00,86,
"P0000849","MANO0001",8.0000000000000000e+00,87,
"P0000849","MANO0043",1.0000000000000000e+00,88,
"P0000855","MANO0056",2.0000000000000000e+00,89,
"P0000855","MANO0013",4.0000000000000000e+00,90,
"P0000855","MANO0041",2.5000000000000000e-01,91,
"P0000896","MANO0005",2.0000000000000000e+00,92,
"P0000896","MANO0071",2.0000000000000000e+00,93,
"P0000896","MANO0070",2.0000000000000000e+00,94,
"P0000896","MANO0049",1.0000000000000000e+00,95,
"P0000904","MANO0005",2.0000000000000000e+01,96,
"P0000904","MANO0070",2.0000000000000000e+01,97,
"P0000904","MANO0049",3.0000000000000000e+00,98,
"P0000909","MANO0005",2.0000000000000000e+00,99,
"P0000909","MANO0013",2.0000000000000000e+00,100,
"P0000930","MANO0056",1.0000000000000000e+00,101,
"P0000930","MANO0005",1.0000000000000000e+00,102,
"P0000930","MANO0026",1.0000000000000000e+00,103,
"P0000930","MANO0045",5.0000000000000000e-01,104,
"P0000935","MANO0056",3.0000000000000000e+00,105,
"P0000935","MANO0005",3.0000000000000000e+00,106,
"P0000935","MANO0026",3.0000000000000000e+00,107,
"P0000935","MANO0045",1.0000000000000000e+00,108,
"P0000936","MANO0056",3.0000000000000000e+00,109,
"P0000936","MANO0005",3.0000000000000000e+00,110,
"P0000936","MANO0026",3.0000000000000000e+00,111,
"P0001013","MANO0005",1.0000000000000000e+00,112,
