CodPar,CodIns,CanIns,Desper,Contad,CodAlt
"*OBREX33","*AGUA",1.6000000000000000e-01,5.0000000000000000e+00,24,
"*OBREX30","*AGUA",1.6000000000000000e-01,5.0000000000000000e+00,25,
"OBREX30","*TIERRAA",1.0000000000000001e-01,0.0000000000000000e+00,26,
"OBREX30","*AGUA",5.0000000000000000e-01,0.0000000000000000e+00,27,
"OBREX30","ARBUS",1.0000000000000000e+00,0.0000000000000000e+00,28,
"P0002330","MATE0578",1.4999999999999999e-01,0.0000000000000000e+00,29,
"P0002330","CONTRAE",1.1000000000000001e+00,5.0000000000000000e+00,30,
"P0000905","MATE1392",5.5000000000000000e-02,0.0000000000000000e+00,31,
"P0000905","MATE1167",6.5000000000000002e-02,0.0000000000000000e+00,32,
"P0000905","MATE1318",2.0000000000000000e-02,0.0000000000000000e+00,33,
"P0001330","MATE0183",1.0000000000000000e+00,0.0000000000000000e+00,34,
"P0001330","MATE1203",1.0000000000000000e+00,0.0000000000000000e+00,35,
"P0001330","MATE0516",2.0000000000000000e+00,0.0000000000000000e+00,36,
"P0001330","MATE0805",1.0000000000000000e+00,0.0000000000000000e+00,37,
"P0001330","MATE1043",1.0000000000000000e+00,0.0000000000000000e+00,38,
"P0001330","MATE1760",1.0000000000000001e-01,0.0000000000000000e+00,39,
"P0001330","MATE1011",1.0000000000000000e+00,0.0000000000000000e+00,40,
"P0001330","MATE1594",1.0000000000000000e+00,0.0000000000000000e+00,41,
"P0001330","MATE1580",3.0000000000000000e+00,0.0000000000000000e+00,42,
"*CABLE28","*CABLE11",1.0000000000000000e+00,0.0000000000000000e+00,43,
"*CABLE28","*MATEIE1",1.0000000000000000e-03,0.0000000000000000e+00,44,
"BREAKER","BREAKER3",1.0000000000000000e+00,0.0000000000000000e+00,45,
"BREAKER","MATE1577",1.2000000000000000e-02,0.0000000000000000e+00,46,
"CALBRE3","MATE1577",1.0000000000000000e-02,0.0000000000000000e+00,47,
"CALBRE3","CABLE 3",1.0000000000000000e+00,0.0000000000000000e+00,48,
"EDF-0901","PUER",1.0000000000000000e+00,0.0000000000000000e+00,49,
"EDF-9004","MATE0413",1.0000000000000000e+00,5.0000000000000000e+00,50,
"EDF-9004","MATE0102",5.0000000000000003e-02,5.0000000000000000e+00,51,
"ESTRUC27","MATE1007",5.0000000000000001e-04,0.0000000000000000e+00,52,
"ESTRUC27","MATE0859",5.0000000000000001e-03,0.0000000000000000e+00,53,
"ALBAÑ28","FLEJE",5.0000000000000000e-01,0.0000000000000000e+00,54,
"ESTRUC27","ESTRUC",1.0000000000000000e+00,0.0000000000000000e+00,55,
"FEFF","SECCION",6.9999999999999996e-01,0.0000000000000000e+00,56,
"LAI490","CEM002",1.0000000000000000e-02,5.0000000000000000e+00,57,
"*OBREX30","CEM010",7.5000000000000000e+00,5.0000000000000000e+00,58,
"P0000648","*ACERO03",1.0000000000000000e+00,0.0000000000000000e+00,59,
"*OBREX33","MATE0231",6.7000000000000004e-01,5.0000000000000000e+00,60,
"LAI530","MATE0231",2.0000000000000001e-01,5.0000000000000000e+00,61,
"P0003820","MATE0102",2.9999999999999999e-02,0.0000000000000000e+00,62,
"*OBREX30","MATE1384",6.5000000000000002e-01,5.0000000000000000e+00,63,
"*OBREX33","MATE1384",6.5000000000000002e-01,5.0000000000000000e+00,64,
"P0005815","MATE1384",5.9999999999999998e-01,5.0000000000000000e+00,65,
"CARPI10","LAVAPLA",1.0000000000000000e+00,0.0000000000000000e+00,66,
"OBREX31","*AGUA",1.6000000000000000e-01,5.0000000000000000e+00,67,
"LAI499","MATE1384",1.0000000000000000e+00,5.0000000000000000e+00,68,
"LAI530","MT3549",1.0000000000000000e+00,2.0000000000000000e+00,69,
"LAI530","COC083",1.0000000000000000e+00,2.0000000000000000e+00,70,
"LAI530","CEM010",3.0000000000000000e+00,5.0000000000000000e+00,71,
"LAI530","TUBOPVC",4.5000000000000000e+00,0.0000000000000000e+00,72,
"LAI530","TAPA",1.0000000000000000e+00,0.0000000000000000e+00,73,
"LAI531","PIN188",1.0000000000000000e-02,5.0000000000000000e+00,74,
"LIC006","TUBERIA",1.0000000000000000e+01,0.0000000000000000e+00,75,
"LIC006","LLAVE DE",1.0000000000000000e+00,0.0000000000000000e+00,76,
"P0000035","MATE0415",1.0000000000000001e-01,0.0000000000000000e+00,77,
"P0000176","MATE1384",1.0000000000000000e+00,0.0000000000000000e+00,78,
"P0000211","MATE0231",2.5000000000000000e-01,0.0000000000000000e+00,79,
"P0000211","MATE1384",9.4499999999999995e-01,0.0000000000000000e+00,80,
"P0000211","CEM010",8.0000000000000000e+00,0.0000000000000000e+00,81,
"P0001367","MATE0123",4.0000000000000000e+00,5.0000000000000000e+00,82,
"P0000645","MATE0415",5.5000000000000004e-01,0.0000000000000000e+00,83,
