CodPar,Descri,CovPar,UniPar,RenPar,PreUni,UniCanRen,CanPar,Coste,RPC,UniMed
"*ARMRE07","SUMUNISTRO Y TRANSPORTE, PREPARACION Y COLOCACION DE MALLA SOLDADA DE ACERO, PARA INFRAESTRUCTURA.","E.351.120.250","Kg.",1.0000000000000000e+03,2.3100000000000001e+00,"U",1.0000000000000000e+00,0,,4
"*CABLE28","I.E CABLE DE COBRE, TRENZADO, REVESTIDO, TTU, CALIBRE 8 AWG (3.71 MM).","E.521.224.037","m",2.5000000000000000e+02,3.4299999999999997e+00,"U",1.0000000000000000e+00,0,,0
"*ESMET01","SUMINISTRO, CONFECCION Y COLOCACION EN ESTRUCTURAS METALICAS DE COLUMNAS SIMPLES, INCLUYENDO TRANSPORTE HASTA 50 KM DE DISTANCIA.","E.362.110.000","Kg.",6.0000000000000000e+02,7.8700000000000001e+00,"U",1.0000000000000000e+00,0,,4
"*OBREX30","CONCRETO DE Fc 180 Kg/CM2 A LOS 28 DIAS, PARA LA CONSTRUCCION DE ACERAS Y CUNETAS CORRESPONDIENTES A OBRAS DE SERVICIOS. INCLUYE TRANSPORTE DEL CEMENTO Y AGREGADOS HASTA 50 KM Y EXCLUYE EL REFUERZO METALICO Y EL ENCOFRADO.","E.802.302.015","m3",1.0000000000000000e+01,1.7156999999999999e+02,"U",1.0000000000000000e+00,0,,2
"*OBREX33","CONCRETO DE Fc 180 Kg/CM2 A LOS 28 DIAS, PARA LA CONSTRUCCION DE BROCALES CORRESPONDIENTES A OBRAS DE SERVICIOS. INCLUYE TRANSPORTE DEL CEMENTO Y AGREGADOS HASTA 50 KM Y EXCLUYE EL REFUERZO METALICO Y EL ENCOFRADO.","E.802.303.015","m3",1.0000000000000000e+01,1.6859999999999999e+02,"U",1.0000000000000000e+00,0,,2
"ALBAÑ27","CONSTRUCCION DE REVESTIMIENTO INTERIOR EN PAREDES CON DAREX EN PAREDES Y PISOS","E.412.110.007","m2",5.0000000000000000e+01,2.2359999999999999e+01,"U",1.0000000000000000e+00,0,,1
"ALBAÑ28","CONSTRUCCION DE REVESTIMIENTO INTERIOR EN PISOS CON FLEJES Y CEMENTO PULIDO","E.412.110.007","m2",5.0000000000000000e+02,1.0520000000000000e+01,"U",1.0000000000000000e+00,0,,1
"BOTE1","BOTE DE CUALQUIER TIPO DE MATERIAL PROVENIENTE DE LAS EXCAVACIONES Y MOVIMIENTO DE TIERRA, A DISTANCIAS MAYORES DE 10 KM","A.130.000.000","M3",1.0000000000000000e+02,6.5599999999999996e+00,"U",1.0000000000000000e+00,0,0.00000000e+00,2
"BREAKER","INSTALACION ELECTRICA DE INTERRUPTOR TERMOMAGNETICO (BREAKER) CON ENCHUFE, 2 POLO, 10 kA ICC, 120/240V, CAPACIDAD  40 A.","E.561.310.020","pza",2.8000000000000000e+01,3.4399999999999999e+01,"U",1.0000000000000000e+00,0,0.00000000e+00,0
"CAJAMED","SUMINISTRO E INSTALACION DE ARMARIO PARA 9 MEDIDORES.","E.782.000.S/C","pza",2.0000000000000000e+00,5.2452200000000003e+03,"U",1.0000000000000000e+00,0,0.00000000e+00,0
