CodProv,DesProv,ConProv,TelProv,FaxProv,DirProv,MailProv
1," ",,,,,
2,"JUAN MARCANO TOPOGRAFO",,,,,
3,"FRANCISCO RODRIGUEZ (KIKO)",,,,,
4,"INGELET C.A.","JOSE LUIS COTO",,,,
5,"JOYMAR VILLAROEL",,,,,
6,"ARQ. FRANCISCO SALAZAR",,,,,
7,"METAL ORIENTE,S.A.",,,,,
8,"CONSTRUCTORA BONAO,C.A.",,,,,
9,"TUBERIAS  Y SOLUCIONES MARGARITA",,,,,
10,"TUBO",,,,,
11,"FRANCISCO SALAZAR",,,,,
12,"TUBOS MAS",,,,,
13,"ALFARERIA MACANAO,C.A.",,,,,
14,"ERNESTO CLEMENTE,C.A.",,,,,
15,"CATALANO HOME CENTER, C.A.",,,,,
16,"TALLER DEIVI SALAZAR",,,,,
17,"ROMULO GRUAS Y SERVICIOS",,,,,
18,"IRINEO DEL VALLE",,,,,
19,"RAMON FAJARDO",,,,,
20,"GUIDO LARA",,,,,
21,"GREGORI CEDEÑO",,,,,
22,"ACERO MATERIALES",,,,,
23,"DALMIRO JOSE GUERRA",,,,,
24,"LEONARDO BALDERAM",,,,,
25,"DIMAR,C.A.",,,,,
26,"CONSTRUCTURA LUSITANA,C.A.",,,,,
27,"PROCODIMA,C.A.",,,,,
28,"FERREPOLO, C.A.",,,,,
29,"JHONNY VILLARROEL",,,,,
30,"OSWALDO GARCIA",,,,,
31,"GERARDO SANCHEZ",,,,,
32,"CARLOS MUJICA",,,,,
33,"PREMEZCLADO D'AMBROSIO,C.A.",,,,,
34,"IVERSIONES TUBOSMAS,C.A.",,,,,
35,"INVERSIONES TUBOSMAS,C.A.",,,,,
36,"A.V. INGENIERIA,C.A",,,,,
37,"MULTIPSCINA,C.A",,,,,
38,"FERRETERIA LA MUNDIAL",,,,,
39,"JOSE ANTONIO LOPEZ  GUERRA",,,,,
40,"DIFABIO,C.A",,,,,
41,"LUIS DIAZ DURAN",,,,,
42,"MATERIALES EL POZO",,,,,
43,"FERREO MARGARITA,C.A",,,,,
44,"LEWIS VASQUEZ",,,,,
45,"WILFREDO MUJICA",,,,,
46,"HILARIO QUIJADA",,,,,
47,"OSMEL ANDRES CASTANEDA",,,,,
48,"LARA TRAILER",,,,,
49,"EMBOTELLADORA SANTA BARBARA,C.A",,,,,
50,"AVELINO LUIS RODRIGUEZ",,,,,
51,"TEKNOMADERA MARGARITA,C.A",,,,,
52,"FREDDY RONDON",,,,,
53,"ASDRUBAL RAFAEL",,,,,
54,"JOSE LUIS MARCANO",,,,,
55,"DOMINGO SANCHEZ",,,,,
56,"MATERIALES MANZANILLO",,,,,
57,"GLENDYS BASTIDAS",,,,,
